time,Vin,Vdiod,Idiod
0.0,0.0,0.0,0.0
-1.0719636e-08,0.0012123528,1.9626297e-07,8.0899515e-10
2.1439272e-08,0.002424665,1.2358793e-06,3.2406438e-09
4.277264e-08,0.004837,7.431257e-06,1.1801712e-08
6.7206344e-08,0.007599029,2.3727422e-05,2.7204013e-08
9.230206e-08,0.010434378,5.716173e-05,5.0074476e-08
1.2199104e-07,0.013785921,0.0001291044,8.679091e-08
1.6040114e-07,0.018116076,0.00029166642,1.4936575e-07
2.1154769e-07,0.023868455,0.0006656838,2.579539e-07
2.7935795e-07,0.031463392,0.001520955,4.441329e-07
3.7014567e-07,0.04155748,0.0034900273,7.6226644e-07
4.926605e-07,0.05500062,0.0076893754,1.285856e-06
5.952562e-07,0.06605774,0.012908036,1.795283e-06
7.115394e-07,0.0783193,0.021152481,2.4328672e-06
8.3949135e-07,0.091418095,0.03304098,3.163349e-06
9.792766e-07,0.10517914,0.049612194,3.938046e-06
1.1781e-06,0.12360057,0.078711554,4.8582942e-06
1.4830703e-06,0.14874914,0.12958805,5.692262e-06
1.8135121e-06,0.17099649,0.1831028,5.6156055e-06
2.2450372e-06,0.19099282,0.24063513,4.268279e-06
2.4239441e-06,0.19600981,0.25681132,3.3330207e-06
2.6093926e-06,0.19909401,0.26616502,2.1237308e-06
2.8041097e-06,0.19997783,0.27080405,7.6339046e-07
2.9873208e-06,0.19859757,0.27001065,-5.500216e-07
3.282784e-06,0.1919,0.2586186,-2.6057155e-06
3.6024257e-06,0.1786451,0.23346752,-4.603902e-06
3.8119986e-06,0.1667603,0.20769265,-5.6538556e-06
3.9672454e-06,0.1564374,0.18291688,-6.194323e-06
4.0875084e-06,0.14760803,0.16101892,-6.4238857e-06
4.228989e-06,0.13635054,0.13355796,-6.4726205e-06
4.372419e-06,0.124047905,0.10544225,-6.2743093e-06
4.590214e-06,0.10383541,0.06479835,-5.580541e-06
4.8154157e-06,0.08128526,0.028040215,-4.5199104e-06
5.046563e-06,0.056774177,-0.0012911725,-3.2193302e-06
5.288736e-06,0.030062258,-0.021997105,-1.8708737e-06
5.5089863e-06,0.0052662627,-0.03268567,-8.4540034e-07
5.6767008e-06,-0.013690502,-0.03638092,-2.9927955e-07
5.8031833e-06,-0.027914602,-0.03733173,-6.734602e-08
5.8865917e-06,-0.037221003,-0.037494525,-2.1517367e-08
5.9903628e-06,-0.048681557,-0.03772147,-8.973255e-08
6.1214964e-06,-0.06291937,-0.038704857,-3.2967074e-07
6.257083e-06,-0.077276155,-0.040990587,-7.272282e-07
6.3517627e-06,-0.08703713,-0.043755352,-1.0911766e-06
6.431439e-06,-0.09505921,-0.047162272,-1.449846e-06
6.5110944e-06,-0.10288628,-0.05167223,-1.8418662e-06
6.600136e-06,-0.11138791,-0.058014177,-2.3034368e-06
6.6858024e-06,-0.119301006,-0.065387316,-2.7576893e-06
6.7565184e-06,-0.12562303,-0.072577104,-3.1301518e-06
6.8467994e-06,-0.13340093,-0.0831307,-3.5887508e-06
6.930675e-06,-0.14031594,-0.094234094,-3.982518e-06
7.03853e-06,-0.14874189,-0.110224225,-4.4223652e-06
7.15131e-06,-0.15696056,-0.12865894,-4.7715444e-06
7.3089063e-06,-0.16736923,-0.15631448,-5.0743233e-06
7.398582e-06,-0.17270386,-0.17267698,-5.131175e-06
7.48536e-06,-0.17744352,-0.1887049,-5.0711765e-06
7.5769094e-06,-0.18198046,-0.20531017,-4.8957827e-06
7.683113e-06,-0.18663198,-0.22374406,-4.5596535e-06
7.781673e-06,-0.19034699,-0.23973413,-4.1336607e-06
7.8509875e-06,-0.1926062,-0.24999212,-3.7628217e-06
7.921338e-06,-0.19459665,-0.2592122,-3.324225e-06
8.010606e-06,-0.19667868,-0.26920715,-2.7018348e-06
8.0962645e-06,-0.1982055,-0.2767457,-2.047358e-06
8.2018305e-06,-0.19944727,-0.2829288,-1.1827204e-06
8.317233e-06,-0.1999917,-0.2860339,-2.0013773e-07
8.412617e-06,-0.19979903,-0.28567326,6.215137e-07
8.47604e-06,-0.19934912,-0.28362408,1.1602723e-06
8.554971e-06,-0.19843121,-0.27910396,1.8081366e-06
8.634413e-06,-0.19710827,-0.27252072,2.4178391e-06
8.762399e-06,-0.19414183,-0.25815147,3.2802227e-06
8.930281e-06,-0.18871272,-0.23458448,4.1857656e-06
9.082592e-06,-0.18231513,-0.20961016,4.7303924e-06
9.25648e-06,-0.17336205,-0.1787723,4.9864307e-06
9.4394945e-06,-0.16213183,-0.14602572,4.9088794e-06
9.546965e-06,-0.15472014,-0.12759955,4.6883097e-06
9.6627455e-06,-0.14609697,-0.10928004,4.305607e-06
9.781819e-06,-0.13657586,-0.09263085,3.8092517e-06
9.9498175e-06,-0.122100696,-0.07333688,3.0119738e-06
1.0153008e-05,-0.10313487,-0.054536875,2.0042012e-06
1.0176628e-05,-0.100836925,-0.052812174,1.8887146e-06
1.0223869e-05,-0.09618747,-0.049941737,1.664027e-06
1.0235679e-05,-0.09501425,-0.04927307,1.6091153e-06
1.0259299e-05,-0.09265516,-0.048054505,1.5027832e-06
1.030654e-05,-0.087887794,-0.045784224,1.2958615e-06
1.031835e-05,-0.08668602,-0.04526469,1.24596e-06
1.0341971e-05,-0.084270924,-0.044332292,1.1507533e-06
1.0389212e-05,-0.07939607,-0.04272722,9.748002e-07
1.0483694e-05,-0.069479905,-0.04037382,6.909121e-07
1.0672656e-05,-0.049081583,-0.037418593,3.3699953e-07
1.084433e-05,-0.030057874,-0.035571333,2.8268101e-07
1.1027777e-05,-0.009421359,-0.032749113,5.693807e-07
1.1252955e-05,0.01602494,-0.025122799,1.3223382e-06
1.1508015e-05,0.044512838,-0.009322219,2.515644e-06
1.1681756e-05,0.06342423,0.0074477806,3.4432364e-06
1.1874164e-05,0.083646074,0.03243394,4.45847e-06
1.2040203e-05,0.10030992,0.058417484,5.208863e-06
1.2225222e-05,0.11783135,0.09097358,5.7257544e-06
1.259526e-05,0.14883067,0.15569992,5.78479e-06
1.302585e-05,0.17665103,0.2175159,4.594694e-06
1.340323e-05,0.19250493,0.2534126,2.6756113e-06
1.3580996e-05,0.19697624,0.26200855,1.5618419e-06
1.3777591e-05,0.19960402,0.264626,2.6741301e-07
1.4014142e-05,0.19949853,0.2613881,-1.2480132e-06
1.4259442e-05,0.19562522,0.2494475,-2.6453122e-06
1.4657234e-05,0.18141706,0.21488324,-4.4451976e-06
1.4888468e-05,0.16889107,0.18627144,-5.0914455e-06
1.5122243e-05,0.15329707,0.15112278,-5.2896976e-06
1.5287826e-05,0.1406155,0.124918655,-5.1652705e-06
1.5416359e-05,0.12991603,0.1048442,-4.898557e-06
1.5557838e-05,0.11734805,0.084085256,-4.466612e-06
1.5726439e-05,0.101397514,0.061816487,-3.8357057e-06
1.5892796e-05,0.08475586,0.042248257,-3.1486175e-06
1.591773e-05,0.08219309,0.039647438,-3.041978e-06
1.5967604e-05,0.07701905,0.034863904,-2.8274358e-06
1.5980071e-05,0.0757158,0.033713505,-2.774184e-06
1.6005008e-05,0.07309809,0.03152553,-2.6689859e-06
1.6054879e-05,0.06781959,0.027447568,-2.4644282e-06
1.6154623e-05,0.057105,0.020413626,-2.090979e-06
1.635411e-05,0.03516562,0.009141623,-1.4775803e-06
1.6537133e-05,0.014636846,0.0011729873,-1.0946293e-06
1.6682472e-05,-0.0017874978,-0.0038943517,-9.696375e-07
1.6833179e-05,-0.018804302,-0.008917086,-1.0257273e-06
1.69819e-05,-0.035463452,-0.014558197,-1.2473697e-06
1.712147e-05,-0.050872024,-0.021194488,-1.5924527e-06
1.7258995e-05,-0.06574513,-0.029661046,-2.0387768e-06
1.7406916e-05,-0.08129647,-0.04105134,-2.5919428e-06
1.750014e-05,-0.09081222,-0.049644038,-2.9627047e-06
1.7576125e-05,-0.09838273,-0.05770633,-3.2679652e-06
1.7655684e-05,-0.10611455,-0.06709069,-3.5781422e-06
1.7741406e-05,-0.11420442,-0.078161046,-3.8919975e-06
1.7826367e-05,-0.12195793,-0.09004262,-4.1730436e-06
1.7908053e-05,-0.12914725,-0.102269895,-4.4047324e-06
1.7993536e-05,-0.13637555,-0.115797736,-4.5964784e-06
1.8087092e-05,-0.14392078,-0.131256,-4.7369886e-06
1.8194489e-05,-0.15208447,-0.14950693,-4.7974427e-06
1.8321722e-05,-0.16102797,-0.17116058,-4.7093104e-06
1.8502673e-05,-0.17230208,-0.20108207,-4.3446407e-06
1.8606714e-05,-0.17797498,-0.2172428,-4.0049763e-06
1.8688783e-05,-0.18201625,-0.22884052,-3.6464508e-06
1.8780504e-05,-0.18606855,-0.24035208,-3.171859e-06
1.8878118e-05,-0.18983132,-0.25091892,-2.603453e-06
1.8954759e-05,-0.19238095,-0.25778937,-2.1170447e-06
1.9024901e-05,-0.19439778,-0.262662,-1.6441625e-06
1.911472e-05,-0.1965335,-0.2670729,-1.0161344e-06
1.9196332e-05,-0.19803469,-0.26922086,-4.3590447e-07
1.9299558e-05,-0.1993291,-0.26932016,2.941289e-07
1.940623e-05,-0.1999533,-0.26666734,1.0236038e-06
1.9511217e-05,-0.19985744,-0.2615752,1.702722e-06
1.9573528e-05,-0.1994674,-0.2572988,2.0760285e-06
1.9644025e-05,-0.19872762,-0.2513044,2.4614455e-06
1.9712561e-05,-0.19770564,-0.24448237,2.79183e-06
1.9827045e-05,-0.19533727,-0.23138312,3.241956e-06
1.996551e-05,-0.19138046,-0.21398774,3.6679596e-06
2e-05,-0.1902113,-0.20939673,3.7494428e-06
2.0083078e-05,-0.18709898,-0.1977763,3.8473086e-06
2.0193851e-05,-0.1823083,-0.18226586,3.864571e-06
2.0381136e-05,-0.17259306,-0.15691228,3.6745291e-06
2.0575284e-05,-0.16048187,-0.1333838,3.2379846e-06
2.0847117e-05,-0.14031476,-0.1067638,2.395433e-06
2.1103768e-05,-0.11822786,-0.08852819,1.5816336e-06
2.132259e-05,-0.09741367,-0.07830668,1.0410176e-06
2.153248e-05,-0.0760451,-0.071602024,8.017451e-07
2.176274e-05,-0.05138342,-0.06484742,9.116503e-07
2.19831e-05,-0.026961846,-0.056607906,1.3574464e-06
2.2142316e-05,-0.0090341475,-0.048308473,1.8740317e-06
2.2248665e-05,0.0029905685,-0.040873203,2.3051082e-06
2.2366896e-05,0.016343985,-0.030508274,2.8358295e-06
2.2487657e-05,0.029907398,-0.017595492,3.39589e-06
2.2657116e-05,0.0486909,0.0032131094,4.179366e-06
2.2670869e-05,0.0501981,0.005070216,4.2411393e-06
2.2698376e-05,0.053203303,0.009039549,4.360182e-06
2.275339e-05,0.059174363,0.017171413,4.5924903e-06
2.2767143e-05,0.060658403,0.019259939,4.648691e-06
2.279465e-05,0.06361539,0.023558658,4.7562808e-06
2.2849665e-05,0.069482476,0.032322757,4.963688e-06
2.2863418e-05,0.07093896,0.034561038,5.013089e-06
2.2890925e-05,0.07383897,0.03910972,5.107873e-06
2.2897802e-05,0.07456121,0.04025661,5.1309366e-06
2.2911556e-05,0.07600229,0.042573772,5.175444e-06
2.2939063e-05,0.07887058,0.04726547,5.2597898e-06
2.2994076e-05,0.08454922,0.056846403,5.4080297e-06
2.3104105e-05,0.09565561,0.07646582,5.6148456e-06
2.332416e-05,0.11671629,0.115219705,5.682937e-06
2.3698978e-05,0.14827088,0.17332296,4.9820724e-06
2.4144436e-05,0.1770458,0.22412874,3.2446796e-06
2.446055e-05,0.1907663,0.24471669,1.6179538e-06
2.4692996e-05,0.19699365,0.25036937,3.420431e-07
2.487434e-05,0.19949527,0.24948896,-6.027635e-07
2.5119894e-05,0.19954051,0.24231352,-1.7457958e-06
2.5361836e-05,0.19582792,0.22868845,-2.6376363e-06
2.5754267e-05,0.18208149,0.1949407,-3.4436557e-06
2.6339792e-05,0.14529273,0.13439915,-3.5354426e-06
2.691073e-05,0.09417879,0.076465316,-2.8419454e-06
2.7255626e-05,0.05819957,0.04654832,-2.323764e-06
2.7492408e-05,0.032134697,0.029107442,-2.1186506e-06
2.7699416e-05,0.008859657,0.014616142,-2.1300202e-06
2.789521e-05,-0.013271444,0.00038274756,-2.29587e-06
2.8023405e-05,-0.027690567,-0.009781371,-2.4838841e-06
2.8162274e-05,-0.043143675,-0.022052102,-2.7478875e-06
2.8317903e-05,-0.060141303,-0.037391018,-3.078539e-06
2.8458277e-05,-0.075077124,-0.05247892,-3.387944e-06
2.8478908e-05,-0.0772346,-0.05484783,-3.432884e-06
2.8520168e-05,-0.08151774,-0.059762903,-3.520849e-06
2.8530483e-05,-0.082581684,-0.06100998,-3.5424437e-06
2.8551114e-05,-0.0847011,-0.06354903,-3.5845144e-06
2.8592376e-05,-0.08890506,-0.06869111,-3.66678e-06
2.8602692e-05,-0.08994857,-0.069995195,-3.6867416e-06
2.862332e-05,-0.09202639,-0.07264543,-3.7251198e-06
2.8664583e-05,-0.09614416,-0.078052156,-3.796844e-06
2.8747107e-05,-0.10422048,-0.08918412,-3.9212555e-06
2.8852186e-05,-0.114173815,-0.103813015,-4.0434606e-06
2.8947261e-05,-0.122832984,-0.117414236,-4.111817e-06
2.9030793e-05,-0.1301487,-0.12956919,-4.1289663e-06
2.912229e-05,-0.13782832,-0.14294164,-4.0977084e-06
2.921607e-05,-0.14531654,-0.15650865,-4.0086115e-06
2.9328734e-05,-0.1537705,-0.17232154,-3.822894e-06
2.9459112e-05,-0.1627729,-0.1895734,-3.5091132e-06
2.959537e-05,-0.17123537,-0.20610708,-3.0831006e-06
2.9688903e-05,-0.17645903,-0.21622813,-2.733047e-06
2.9774767e-05,-0.1808201,-0.22428721,-2.3699959e-06
2.9868932e-05,-0.18511257,-0.23172082,-1.9390698e-06
2.996948e-05,-0.18911639,-0.23802075,-1.4533654e-06
3.0067027e-05,-0.19241668,-0.24250929,-9.67029e-07
3.0143514e-05,-0.19459541,-0.24476196,-5.817794e-07
3.0226323e-05,-0.19654383,-0.24587187,-1.6851014e-07
3.0314357e-05,-0.19814254,-0.24565747,2.579209e-07
3.0414198e-05,-0.19936135,-0.24373502,7.14927e-07
3.052964e-05,-0.19997853,-0.2396212,1.1999755e-06
3.0629642e-05,-0.1998245,-0.23464906,1.5773646e-06
3.0692943e-05,-0.19939671,-0.2307622,1.7870368e-06
3.076846e-05,-0.19855225,-0.22544941,2.0031334e-06
3.0844283e-05,-0.19734019,-0.21953891,2.1810895e-06
3.0966818e-05,-0.19461574,-0.20910959,2.3872815e-06
3.1122352e-05,-0.18981467,-0.19507861,2.5317217e-06
3.126834e-05,-0.18397215,-0.18161637,2.5489571e-06
3.1430962e-05,-0.17599088,-0.16697441,2.4480912e-06
3.16115e-05,-0.16539137,-0.15199259,2.2386548e-06
3.186847e-05,-0.14736488,-0.1334122,1.889942e-06
3.215104e-05,-0.123972915,-0.11609154,1.6045601e-06
3.2466534e-05,-0.09415383,-0.09862127,1.5671652e-06
3.276458e-05,-0.0632212,-0.080033466,1.9183244e-06
3.3177967e-05,-0.017549017,-0.045053877,2.8773911e-06
3.362009e-05,0.032289427,0.004888369,4.0997134e-06
3.3842487e-05,0.056791432,0.035823274,4.6286327e-06
3.4072295e-05,0.081163436,0.07143313,4.960265e-06
3.4267494e-05,0.10080543,0.10223865,5.019567e-06
3.447493e-05,0.120328866,0.13382545,4.831834e-06
3.4678975e-05,0.13792093,0.16194409,4.4122003e-06
3.491456e-05,0.15593705,0.18993495,3.7091108e-06
3.5050063e-05,0.1650662,0.2031763,3.2176365e-06
3.5189827e-05,0.17346692,0.21397501,2.6554242e-06
3.532643e-05,0.1806315,0.22197272,2.0849457e-06
3.5513196e-05,0.18867652,0.2301478,1.2973015e-06
3.553823e-05,0.18959667,0.23095742,1.1926337e-06
3.5588295e-05,0.1913228,0.232204,9.854539e-07
3.560081e-05,0.19173042,0.23248078,9.340426e-07
3.5625842e-05,0.19251685,0.23297527,8.318985e-07
3.56321e-05,0.19270743,0.23309043,8.0647226e-07
3.5644614e-05,0.19308136,0.23329984,7.559033e-07
3.5669647e-05,0.19380018,0.233663,6.556002e-07
3.571971e-05,0.19512118,0.23426607,4.5692698e-07
3.5732228e-05,0.19542705,0.23438236,4.078409e-07
3.5757257e-05,0.19600938,0.2345365,3.1109116e-07
3.5807323e-05,0.19705611,0.23463969,1.2184913e-07
3.5907447e-05,0.1986751,0.23410933,-2.3921197e-07
3.6076257e-05,0.19996116,0.23147252,-8.0069475e-07
3.626482e-05,0.19924495,0.22595768,-1.3462308e-06
3.6527945e-05,0.19446954,0.2136894,-1.934456e-06
3.6954098e-05,0.17770293,0.1855536,-2.5190213e-06
3.7630598e-05,0.13060129,0.12970969,-2.9270384e-06
3.8272177e-05,0.06834309,0.06938739,-3.0994695e-06
3.8849925e-05,0.0044062817,0.010530002,-3.2889288e-06
3.9016348e-05,-0.014402707,-0.0075652055,-3.374966e-06
3.916091e-05,-0.030643709,-0.024153106,-3.4594946e-06
3.9322273e-05,-0.048525445,-0.043301653,-3.5402934e-06
3.9476265e-05,-0.06521599,-0.06207176,-3.5915186e-06
3.962664e-05,-0.08103829,-0.08073052,-3.6088443e-06
3.971791e-05,-0.0903632,-0.09214675,-3.5979715e-06
3.9792576e-05,-0.09781393,-0.101490475,-3.571963e-06
3.9869963e-05,-0.105351925,-0.11111916,-3.5284377e-06
3.9955004e-05,-0.11340247,-0.12158274,-3.4615484e-06
4.0041225e-05,-0.12129682,-0.13201322,-3.373482e-06
4.0119237e-05,-0.12819155,-0.14122953,-3.2748267e-06
4.0201685e-05,-0.13520712,-0.15066878,-3.1502598e-06
4.029054e-05,-0.14243832,-0.16041993,-2.9935593e-06
4.039386e-05,-0.15039338,-0.17110398,-2.783701e-06
4.0513583e-05,-0.15896803,-0.18254803,-2.5091588e-06
4.0622854e-05,-0.16615903,-0.19194649,-2.231926e-06
4.074414e-05,-0.17339705,-0.20112346,-1.9002103e-06
4.084006e-05,-0.17854542,-0.20738845,-1.6247991e-06
4.0927498e-05,-0.18278138,-0.2121651,-1.3663072e-06
